"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","","Employment 3",,,,,"Employment rate 4",,,,
"Geography2","Sex","Reference period","15 to 24 years  (x 1,000)","25 to 44 years  (x 1,000)","45 to 64 years  (x 1,000)","65 to 69 years  (x 1,000)","70 years and over  (x 1,000)","15 to 24 years","25 to 44 years","45 to 64 years","65 to 69 years","70 years and over"
"",,,"Persons",,,,,"Percentage",,,,
"Newfoundland and Labrador","Both sexes","January 2015","28.2","97.0","92.4","5.1","2.6","49.3","75.2","55.9","14.4","4.6"
,,"February 2015","27.1","96.7","93.4","4.6","2.3","47.5","75.1","56.5","13.0","4.1"
,,"March 2015","27.2","96.3","95.1","4.6","2.2","47.8","74.8","57.6","12.9","3.9"
,,"April 2015","27.3","97.3","97.1","5.7","1.9","48.1","75.7","58.8","16.0","3.3"
,,"May 2015","29.8","97.7","101.8","5.6","2.1","52.7","76.1","61.7","15.6","3.7"
,,"June 2015","31.6","100.6","108.8","6.0","2.0","56.2","78.5","65.9","16.7","3.5"
,,"July 2015","37.6","99.1","107.3","5.7","2.2","67.1","77.4","65.0","15.8","3.8"
,,"August 2015","37.1","97.7","107.3","6.5","2.2","66.5","76.4","65.1","18.0","3.8"
,,"September 2015","29.1","96.3","105.8","6.5","3.0","52.2","75.4","64.2","18.0","5.2"
,,"October 2015","30.8","96.3","101.9","5.7","2.4","55.3","75.4","61.9","15.7","4.1"
,,"November 2015","31.7","94.2","99.5","6.8","2.0","56.9","73.8","60.4","18.7","3.4"
,,"December 2015","30.9","93.9","96.4","5.3","2.4","55.5","73.6","58.5","14.6","4.1"
,,"January 2016","27.8","91.6","90.7","5.1","2.6","50.0","71.8","55.1","14.0","4.4"
,,"February 2016","28.5","92.3","91.3","5.3","2.8","51.3","72.4","55.5","14.5","4.7"
,,"March 2016","26.5","94.2","92.4","5.0","2.4","47.7","73.9","56.1","13.7","4.0"
,,"April 2016","26.6","94.8","99.0","5.9","2.5","47.8","74.4","60.2","16.1","4.2"
,,"May 2016","29.8","96.9","105.9","6.7","2.4","53.7","76.1","64.3","18.3","4.0"
,,"June 2016","31.8","100.1","106.8","7.5","1.9","57.3","78.6","64.8","20.4","3.1"
,,"July 2016","36.7","98.4","105.3","5.8","1.7","66.2","77.4","64.0","15.8","2.8"
,,"August 2016","35.4","96.3","104.5","6.8","1.5","64.0","75.8","63.5","18.5","2.5"
,,"September 2016","27.7","98.5","104.8","7.4","1.7","50.2","77.6","63.7","20.1","2.8"
,,"October 2016","26.7","95.8","100.3","6.5","1.7","48.5","75.5","61.0","17.6","2.8"
,,"November 2016","27.6","94.7","97.8","6.1","1.9","50.1","74.7","59.6","16.5","3.1"
,,"December 2016","28.8","92.2","94.3","6.1","1.8","52.4","72.8","57.5","16.5","2.9"
,,"January 2017","24.6","92.6","88.8","6.6","2.5","44.7","73.0","54.1","17.8","4.0"
,,"February 2017","24.7","93.1","88.3","5.2","2.4","44.9","73.4","53.9","14.1","3.8"
,,"March 2017","25.0","91.4","90.5","4.9","2.4","45.5","72.1","55.3","13.2","3.8"
,,"April 2017","26.8","92.0","93.1","5.0","2.4","48.7","72.6","56.9","13.5","3.8"
,,"May 2017","28.4","95.8","99.3","3.7","2.3","51.7","75.6","60.7","10.0","3.6"
,,"June 2017","30.4","96.3","101.2","4.4","2.5","55.5","76.0","61.9","11.9","3.9"
,,"July 2017","33.3","93.2","100.0","4.6","2.0","60.9","73.6","61.2","12.4","3.1"
,,"August 2017","32.0","91.5","99.2","4.8","2.0","58.6","72.4","60.7","12.9","3.1"
,,"September 2017","27.4","94.2","98.6","4.8","2.1","50.2","74.7","60.5","12.9","3.3"
,,"October 2017","28.0","94.5","97.7","5.3","1.8","51.4","75.1","60.0","14.2","2.8"
,,"November 2017","27.7","93.8","95.7","5.3","2.1","50.8","74.7","58.8","14.2","3.2"
,,"December 2017","27.4","90.5","95.6","6.2","1.8","50.4","72.2","58.8","16.6","2.8"
,,"January 2018","23.6","87.9","93.2","5.8","1.8","43.4","70.2","57.4","15.5","2.7"
,,"February 2018","24.7","89.0","90.5","5.9","2.1","45.4","71.2","55.8","15.8","3.2"
,,"March 2018","23.9","89.8","90.6","5.4","2.4","43.9","71.9","56.0","14.4","3.6"
,,"April 2018","24.5","91.0","94.9","6.0","2.1","45.1","73.0","58.7","16.0","3.2"
,,"May 2018","25.5","96.1","98.5","6.1","2.5","47.0","77.3","61.0","16.3","3.8"
,,"June 2018","28.0","94.8","101.2","6.8","3.0","51.7","76.4","62.7","18.1","4.5"
,,"July 2018","33.3","93.7","98.7","7.5","3.2","61.6","75.7","61.3","19.9","4.8"
,,"August 2018","32.7","93.2","98.8","8.1","3.8","60.6","75.5","61.4","21.5","5.7"
,,"September 2018","24.2","96.8","101.5","7.5","3.6","44.9","78.6","63.2","19.9","5.3"
,,"October 2018","22.4","96.2","99.5","7.6","3.8","41.6","78.2","62.0","20.2","5.6"
,,"November 2018","22.3","96.3","96.4","7.0","3.4","41.4","78.4","60.2","18.5","5.0"
,,"December 2018","23.3","96.3","95.4","6.2","3.6","43.4","78.5","59.6","16.4","5.3"
,,"January 2019","23.5","92.7","95.1","6.4","3.2","43.8","75.9","59.6","16.9","4.7"
,,"February 2019","23.3","93.4","94.3","6.3","2.6","43.5","76.5","59.2","16.6","3.8"
,,"March 2019","23.8","92.8","93.0","6.5","3.1","44.4","76.1","58.4","17.2","4.5"
,,"April 2019","24.2","91.8","97.9","6.6","2.9","45.1","75.6","61.6","17.4","4.2"
,,"May 2019","25.5","95.6","100.3","6.8","2.7","47.7","78.9","63.2","17.9","3.9"
,,"June 2019","27.4","92.7","102.2","7.7","3.2","51.3","76.7","64.5","20.3","4.6"
,,"July 2019","33.6","91.4","100.2","7.7","3.3","63.0","75.9","63.3","20.2","4.7"
,,"August 2019","32.1","90.3","100.0","8.4","3.7","60.2","75.1","63.3","22.0","5.3"
,,"September 2019","25.1","92.8","101.2","8.1","3.4","47.2","77.3","64.2","21.2","4.8"
,,"October 2019","25.4","94.1","98.3","7.1","4.4","47.7","78.5","62.4","18.6","6.2"
,,"November 2019","25.7","93.6","94.3","6.6","4.0","48.3","78.2","59.9","17.2","5.6"
,,"December 2019","25.4","90.6","89.3","6.9","4.6","47.7","75.8","56.8","18.0","6.4"
,,"January 2020","22.3","90.9","90.0","5.3","4.0","41.9","76.1","57.3","13.8","5.6"
,,"February 2020","23.9","90.1","91.6","5.0","3.2","44.9","75.5","58.4","13.0","4.4"
"Prince Edward Island","Both sexes","January 2015","8.7","26.5","30.0","2.7","1.6","47.0","78.2","69.6","28.4","10.1"
,,"February 2015","9.2","26.7","30.2","2.9","0.9","50.0","79.0","70.1","30.5","5.7"
,,"March 2015","8.8","26.7","30.2","2.1","1.0","47.8","79.0","70.1","21.9","6.3"
,,"April 2015","8.9","27.1","30.1","2.2","1.2","48.4","80.2","69.8","22.9","7.5"
,,"May 2015","10.1","28.5","31.6","2.7","1.3","55.2","84.3","73.3","28.1","8.1"
,,"June 2015","12.5","29.0","33.1","3.0","1.5","68.3","85.8","76.8","30.9","9.3"
,,"July 2015","14.1","27.6","31.3","2.7","1.2","77.5","81.9","72.6","27.8","7.5"
,,"August 2015","13.7","27.9","31.3","2.9","1.4","75.3","82.5","72.6","29.9","8.6"
,,"September 2015","11.3","27.8","32.2","2.9","1.6","62.1","82.5","74.7","29.6","9.9"
,,"October 2015","10.9","27.9","32.2","2.8","1.8","60.2","82.8","74.7","28.6","11.0"
,,"November 2015","10.1","26.6","30.5","2.6","1.7","55.8","78.9","70.6","26.5","10.4"
,,"December 2015","10.0","26.5","29.4","2.3","1.6","55.2","78.4","68.2","23.5","9.8"
,,"January 2016","9.5","26.1","28.5","2.1","1.5","52.8","77.4","66.0","21.4","9.1"
,,"February 2016","9.4","25.9","28.9","1.9","1.5","52.2","76.9","67.1","19.4","9.1"
,,"March 2016","8.5","25.8","29.4","1.9","1.3","47.2","76.3","68.1","19.2","7.9"
,,"April 2016","8.6","25.8","29.2","2.2","1.3","47.8","76.3","67.6","22.2","7.8"
