"Labour force characteristics by industry, annual (x 1,000)" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"","","Employment 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","Total, all industries 5","Goods-producing sector 6","Agriculture 7","Forestry, fishing, mining, quarrying, oil and gas 8 9","Forestry and logging and support activities for forestry","Fishing, hunting and trapping","Mining, quarrying, and oil and gas extraction 8","Utilities","Construction","Manufacturing","Durables","Non-durables","Services-producing sector 10","Wholesale and retail trade","Wholesale trade","Retail trade","Transportation and warehousing","Finance, insurance, real estate, rental and leasing","Finance and insurance","Real estate and rental and leasing","Professional, scientific and technical services","Business, building and other support services 11","Educational services","Health care and social assistance","Information, culture and recreation","Accommodation and food services","Other services (except public administration)","Public administration","Unclassified industries 12"
"","","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Geography2","Reference period","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over","15 years and over"
"",,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2016","4,133.1","844.4","56.5","31.2","9.5","x","20.9","27.5","236.0","493.1","284.4","208.7","3,288.7","652.4","150.7","501.8","195.6","216.0","157.2","58.8","311.9","182.0","280.2","581.8","179.5","284.0","167.2","238.1",".."
,"2017","4,223.3","856.3","57.1","36.2","12.1","1.9","22.1","25.2","245.8","492.1","277.7","214.4","3,366.9","664.9","159.7","505.2","206.8","233.8","178.3","55.5","328.2","181.8","293.1","577.7","185.3","272.4","175.1","247.8",".."
,"2018","4,262.2","859.5","55.9","39.3","14.8","x","23.4","26.6","249.6","488.2","281.0","207.2","3,402.7","659.9","156.5","503.4","217.6","240.3","179.1","61.2","327.6","192.1","298.1","591.3","179.9","270.5","177.4","247.9",".."
,"2019","4,339.9","885.3","55.4","41.9","14.3","x","27.0","25.7","264.6","497.7","293.5","204.2","3,454.6","663.3","137.7","525.6","236.1","243.4","184.3","59.1","348.9","182.5","303.1","608.4","177.0","257.4","181.5","253.1",".."
"Ontario","2014","6,877.9","1,382.0","81.8","33.2","5.4","x","27.4","51.1","467.3","748.6","477.0","271.6","5,495.9","1,047.0","248.9","798.1","329.0","512.1","380.5","131.6","559.9","334.7","494.6","798.2","316.5","450.3","286.8","366.8",".."
,"2015","6,923.2","1,401.4","76.9","43.3","7.5","x","34.8","49.4","487.3","744.6","471.7","272.9","5,521.7","1,042.3","281.0","761.3","321.3","543.5","388.0","155.5","579.6","333.4","514.9","812.5","309.5","444.3","276.3","344.0",".."
,"2016","6,999.6","1,418.1","77.7","35.8","6.6","x","29.0","49.5","503.7","751.4","488.6","262.9","5,581.4","1,033.2","279.0","754.2","327.2","555.3","409.3","146.1","594.6","326.1","502.8","838.4","318.0","456.8","276.1","353.0",".."
,"2017","7,128.0","1,432.6","68.5","35.1","5.5","x","29.1","47.2","512.5","769.3","504.2","265.0","5,695.4","1,068.9","262.8","806.1","341.4","560.5","407.1","153.4","629.0","314.7","497.1","869.5","312.9","454.3","275.9","371.2",".."
,"2018","7,242.4","1,453.1","69.0","34.8","5.5","x","29.0","56.6","525.1","767.6","494.2","273.4","5,789.2","1,074.2","260.0","814.2","379.1","563.9","413.1","150.7","637.8","319.7","521.2","851.6","318.1","468.2","290.4","365.0",".."
,"2019","7,452.6","1,467.8","74.0","35.3","5.0","x","29.6","54.7","542.8","761.1","476.1","285.0","5,984.8","1,098.4","254.2","844.2","403.0","588.2","421.5","166.8","682.8","315.7","548.7","905.7","304.9","457.8","299.9","379.8",".."
"Manitoba","2014","626.5","146.9","24.1","6.9","0.8","x","6.0","8.2","43.9","63.8","38.2","25.6","479.5","93.5","21.5","72.1","37.5","33.8","25.1","8.7","24.7","17.1","49.4","99.2","21.8","39.5","28.4","34.6",".."
,"2015","636.2","147.4","23.2","5.7","0.9","x","4.7","8.3","45.6","64.6","38.0","26.7","488.8","91.9","22.0","69.9","38.4","32.7","24.7","8.0","25.4","18.8","52.2","102.1","22.6","41.3","29.3","34.1",".."
,"2016","633.6","151.3","24.3","6.4","0.8","x","5.2","9.9","47.1","63.6","37.3","26.3","482.3","89.2","20.8","68.4","35.5","34.0","25.2","8.8","27.6","18.3","50.1","101.8","23.3","41.6","28.4","32.5",".."
,"2017","644.1","152.1","24.0","6.9","0.5","x","6.2","8.9","48.3","63.9","37.4","26.5","492.0","90.8","20.7","70.0","36.6","37.1","28.7","8.4","28.3","19.5","51.1","102.3","23.9","42.5","27.5","32.7",".."
,"2018","647.7","148.1","25.5","6.5","0.5","x","5.7","7.2","47.2","61.7","35.5","26.2","499.6","88.3","19.1","69.2","39.2","35.6","26.7","9.0","28.7","20.9","51.6","104.8","23.5","42.8","30.2","33.9",".."
,"2019","653.4","152.2","25.6","5.5","0.7","x","4.5","6.5","50.4","64.2","37.8","26.4","501.3","88.4","18.5","69.9","41.6","34.1","25.7","8.4","29.6","22.4","51.9","104.0","22.8","42.7","28.1","35.7",".."
"Saskatchewan","2014","570.9","164.4","44.2","28.0","1.0","x","26.9","6.1","57.2","28.9","17.5","11.4","406.5","83.8","20.8","63.0","29.2","30.0","22.7","7.3","26.4","12.8","43.5","73.5","16.5","36.1","24.8","30.1",".."
,"2015","573.7","156.7","41.4","26.2","0.7","x","25.4","6.7","56.2","26.2","17.1","9.1","417.0","84.4","20.7","63.7","29.5","30.7","22.0","8.7","25.1","14.5","43.5","78.0","18.9","38.0","25.7","28.7",".."
,"2016","568.5","150.0","41.1","25.1","1.1","x","24.0","6.9","51.3","25.7","15.8","9.9","418.5","88.3","23.1","65.2","27.9","28.6","21.7","6.9","28.1","13.0","40.9","78.7","20.4","38.1","25.0","29.4",".."
,"2017","567.6","146.3","36.9","23.8","0.5","x","23.2","6.8","50.7","28.0","17.7","10.3","421.3","92.1","23.9","68.3","28.6","27.4","19.7","7.7","30.2","13.9","40.9","76.4","20.7","36.4","24.6","30.0",".."
,"2018","570.0","145.2","37.2","23.5","0.7","x","22.6","7.0","49.5","28.1","16.8","11.3","424.8","89.3","23.5","65.8","28.3","28.7","20.2","8.5","26.2","15.4","43.0","78.7","20.2","37.4","26.3","31.2",".."
,"2019","580.4","146.3","39.6","22.6","0.7","x","21.9","6.3","47.1","30.7","18.9","11.8","434.1","85.6","23.4","62.2","26.3","29.9","21.6","8.3","27.8","15.9","44.9","80.7","21.7","40.6","28.7","31.8",".."
"Alberta","2014","2,274.6","658.2","60.6","178.5","3.0","x","175.3","18.3","256.4","144.5","87.3","57.2","1,616.4","320.6","86.1","234.4","129.9","104.7","68.4","36.3","184.3","79.1","124.7","240.6","72.5","150.0","122.1","88.1",".."
,"2015","2,301.1","641.7","62.8","158.9","3.6","x","155.3","20.2","259.9","139.9","86.3","53.6","1,659.4","318.8","89.5","229.3","139.3","103.5","65.9","37.6","173.2","82.3","138.0","264.1","74.9","153.5","117.5","94.4",".."
,"2016","2,263.8","577.9","50.8","139.9","4.0","x","135.8","19.8","251.9","115.5","68.5","47.0","1,685.9","330.1","83.7","246.4","131.8","106.1","68.7","37.4","179.3","79.5","149.5","269.4","76.3","144.4","122.4","97.1",".."
,"2017","2,286.9","578.1","52.1","144.8","4.5","x","140.3","21.0","241.0","119.2","68.5","50.8","1,708.8","335.0","93.4","241.6","140.1","107.6","64.7","42.8","178.7","80.9","153.1","274.1","73.6","148.1","115.2","102.4",".."
,"2018","2,330.7","601.1","49.3","153.2","5.7","x","147.4","23.4","245.4","129.8","76.8","53.0","1,729.7","333.4","86.3","247.1","138.8","105.7","63.5","42.2","180.8","86.1","157.3","278.6","78.0","147.5","113.8","109.6",".."
,"2019","2,343.0","591.3","49.2","145.6","3.6","x","141.7","23.7","236.8","136.0","79.5","56.4","1,751.7","337.0","87.4","249.6","137.4","105.9","63.8","42.1","184.7","84.1","157.4","293.4","75.0","146.1","115.7","115.0",".."
"British Columbia","2014","2,278.4","449.9","24.3","50.0","19.2","2.0","28.7","13.7","200.5","161.4","96.5","64.9","1,828.5","358.0","80.5","277.5","133.8","137.2","88.9","48.2","182.3","87.9","166.3","269.8","107.7","185.3","102.4","97.9",".."
,"2015","2,306.2","459.1","22.2","48.3","19.4","1.6","27.4","14.5","201.5","172.5","102.5","70.1","1,847.2","352.9","84.9","268.0","140.0","128.6","85.8","42.8","188.1","93.5","163.4","287.4","114.5","177.5","105.1","96.1",".."
,"2016","2,379.5","470.1","24.4","50.8","19.4","1.6","29.8","13.5","211.3","170.1","102.7","67.4","1,909.4","369.9","89.7","280.2","137.9","135.9","91.0","44.9","195.5","104.7","165.0","291.6","126.6","174.2","104.6","103.7",".."
,"2017","2,466.8","491.7","26.2","49.8","18.6","2.3","28.9","12.9","228.6","174.2","102.3","71.9","1,975.1","374.0","83.6","290.4","139.4","156.2","98.4","57.8","197.2","102.5","166.6","303.5","136.8","182.6","114.4","101.9",".."
,"2018","2,493.6","500.0","23.6","49.7","17.8","3.3","28.6","13.9","238.4","174.3","101.4","73.0","1,993.6","368.4","82.2","286.2","135.8","150.8","93.5","57.3","208.5","100.6","168.6","323.2","127.6","187.7","118.1","104.3",".."
,"2019","2,559.0","485.6","26.6","44.5","16.1","1.8","26.5","12.2","236.6","165.7","103.0","62.7","2,073.4","389.2","87.3","301.9","140.6","158.9","98.1","60.7","223.7","112.3","178.7","312.6","131.5","191.2","118.8","116.0",".."

Symbol legend:
..,  not available for a specific reference period,
x,  suppressed to meet the confidentiality requirements of the Statistics Act,

Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,Excluding the territories.
3,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). If the individual did not have a job during the reference week, the data relate to the previous job, if that job was held in the past year. Those unemployed persons who have never worked before and those persons who last worked more than 1 year ago make up the ""unclassified"" category in this table. In January 1999, the industry classification switched from Standard Industrial Classification (SIC 1980) to North American Industrial Classification System (NAICS), which was quite different. For this reason, detailed historical data based on NAICS is provided going back to January 1987. In addition, data from 1976 to 1986 is provided at a less detailed level than the more recent data. Historical data have been created by imputation. From 1976 to 1986, estimates are based on 2002 NAICS. From 1987 onwards, industry estimates are based on the 2012 North American Industry Classification System (NAICS)."
4,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
5,This combines the North American Industry Classification System (NAICS) codes 11 to 91.
6,This combines the North American Industry Classification System (NAICS) codes 11 to 33.
7,"Labour Force Survey (LFS) North American Industry Classification System (NAICS) code exception: add group 1100 - Farming - not elsewhere classified (nec). When the type of farm activity cannot be distinguished between crop and livestock, (example: mixed farming)."
8,Labour Force Survey (LFS) North American Industry Classification System (NAICS) code exception: add group 2100 - Mining - not elsewhere classified (nec). Whenever the type of mining activity cannot be distinguished.
9,Also referred to as Natural resources.
10,This combines the North American Industry Classification System (NAICS) codes 41 to 91.
11,"Formerly ""Management of companies and administrative and other support services""."
12,"Unemployed persons who have never worked before, and those unemployed persons who last worked more than 1 year ago."
13,
"How to cite: Statistics Canada. Table 14-10-0023-01 Labour force characteristics by industry, annual (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002301
DOI: https://doi.org/10.25318/1410002301-eng
